video_id,planned_class_id,planned_class,planned_niche,final_class_id,final_class,final_niche,conf,tier,views,source,tiktok_url
7643667774241361172,69,Pet cute / funny,,20,POV tình yêu / quan hệ,lifestyle,0.95,low_conf,1073827,gemini_two_axis,https://www.tiktok.com/video/7643667774241361172
7643052533119733013,69,Pet cute / funny,,20,POV tình yêu / quan hệ,lifestyle,0.95,low_conf,577943,gemini_two_axis,https://www.tiktok.com/video/7643052533119733013
7644033387790929172,63,Phiêu lưu / outdoor,travel,24,Hài skit kịch bản,comedy,0.95,low_conf,536721,gemini_two_axis,https://www.tiktok.com/video/7644033387790929172
7644048520755858708,69,Pet cute / funny,,24,Hài skit kịch bản,comedy,0.95,low_conf,369092,gemini_two_axis,https://www.tiktok.com/video/7644048520755858708
7640669040037645588,69,Pet cute / funny,,28,Cover hát / âm nhạc,music_dance,0.95,low_conf,79309,gemini_two_axis,https://www.tiktok.com/video/7640669040037645588
7643971448721198356,69,Pet cute / funny,,20,POV tình yêu / quan hệ,lifestyle,0.95,low_conf,33230,gemini_two_axis,https://www.tiktok.com/video/7643971448721198356
7642029028609756424,56,Gym workout tutorial,gym_fitness,52,Mindfulness / thiền,wellness,0.95,low_conf,28744,gemini_two_axis,https://www.tiktok.com/video/7642029028609756424
7639379245097176328,49,Review Shopee / gia dụng,business,16,Morning / night routine,lifestyle,0.95,low_conf,26144,gemini_two_axis,https://www.tiktok.com/video/7639379245097176328
7642511320213966087,41,Hướng dẫn phần mềm,tech_gaming,36,Học ngoại ngữ,education,0.95,low_conf,25008,gemini_two_axis,https://www.tiktok.com/video/7642511320213966087
7643769384384646413,69,Pet cute / funny,,20,POV tình yêu / quan hệ,lifestyle,0.95,low_conf,19291,gemini_two_axis,https://www.tiktok.com/video/7643769384384646413
7642132459613654280,41,Hướng dẫn phần mềm,tech_gaming,36,Học ngoại ngữ,education,0.95,low_conf,15668,gemini_two_axis,https://www.tiktok.com/video/7642132459613654280
7643662781165686037,51,Listing bất động sản,real_estate,3,Review mỹ phẩm,beauty,0.95,low_conf,12854,gemini_two_axis,https://www.tiktok.com/video/7643662781165686037
7643811031612951829,51,Listing bất động sản,real_estate,45,Tài chính cá nhân,business,0.95,low_conf,11891,gemini_two_axis,https://www.tiktok.com/video/7643811031612951829
7642216585419050247,56,Gym workout tutorial,gym_fitness,52,Mindfulness / thiền,wellness,0.95,low_conf,11871,gemini_two_axis,https://www.tiktok.com/video/7642216585419050247
7644032129881378069,41,Hướng dẫn phần mềm,tech_gaming,36,Học ngoại ngữ,education,0.95,low_conf,8047,gemini_two_axis,https://www.tiktok.com/video/7644032129881378069
7643736522444918037,56,Gym workout tutorial,gym_fitness,16,Morning / night routine,lifestyle,0.95,low_conf,7194,gemini_two_axis,https://www.tiktok.com/video/7643736522444918037
7643650632951418120,64,Highlight thể thao,travel,20,POV tình yêu / quan hệ,lifestyle,0.95,low_conf,5954,gemini_two_axis,https://www.tiktok.com/video/7643650632951418120
7642652826384043285,64,Highlight thể thao,travel,23,Lifestyle aesthetic,lifestyle,0.9,low_conf,4002537,gemini_two_axis,https://www.tiktok.com/video/7642652826384043285
7639726509132958996,69,Pet cute / funny,,20,POV tình yêu / quan hệ,lifestyle,0.9,low_conf,2689897,gemini_two_axis,https://www.tiktok.com/video/7639726509132958996
7643390783621483797,33,Mẹo nuôi dạy,family,24,Hài skit kịch bản,comedy,0.9,low_conf,587368,gemini_two_axis,https://www.tiktok.com/video/7643390783621483797
7641226540411276564,56,Gym workout tutorial,gym_fitness,16,Morning / night routine,lifestyle,0.9,low_conf,313279,gemini_two_axis,https://www.tiktok.com/video/7641226540411276564
7643988839836519687,33,Mẹo nuôi dạy,family,20,POV tình yêu / quan hệ,lifestyle,0.9,low_conf,181128,gemini_two_axis,https://www.tiktok.com/video/7643988839836519687
7640497388158831893,56,Gym workout tutorial,gym_fitness,16,Morning / night routine,lifestyle,0.9,low_conf,166986,gemini_two_axis,https://www.tiktok.com/video/7640497388158831893
7642959089403809032,69,Pet cute / funny,,20,POV tình yêu / quan hệ,lifestyle,0.9,low_conf,99498,gemini_two_axis,https://www.tiktok.com/video/7642959089403809032
7644061121485212949,69,Pet cute / funny,,20,POV tình yêu / quan hệ,lifestyle,0.9,low_conf,44562,gemini_two_axis,https://www.tiktok.com/video/7644061121485212949
7643813853414952210,49,Review Shopee / gia dụng,business,3,Review mỹ phẩm,beauty,0.9,low_conf,19204,gemini_two_axis,https://www.tiktok.com/video/7643813853414952210
7642698183495257362,49,Review Shopee / gia dụng,business,19,Self-improvement,lifestyle,0.9,low_conf,11447,gemini_two_axis,https://www.tiktok.com/video/7642698183495257362
7644096607473929493,49,Review Shopee / gia dụng,business,20,POV tình yêu / quan hệ,lifestyle,0.9,low_conf,9856,gemini_two_axis,https://www.tiktok.com/video/7644096607473929493
7644045182895279368,69,Pet cute / funny,,24,Hài skit kịch bản,comedy,0.9,low_conf,6655,gemini_two_axis,https://www.tiktok.com/video/7644045182895279368
7642180181771259154,35,Giải thích học thuật,education,20,POV tình yêu / quan hệ,lifestyle,0.85,low_conf,4551793,gemini_two_axis,https://www.tiktok.com/video/7642180181771259154
7642168434045865224,64,Highlight thể thao,travel,16,Morning / night routine,lifestyle,0.85,low_conf,2314440,gemini_two_axis,https://www.tiktok.com/video/7642168434045865224
7642349958397693205,69,Pet cute / funny,,23,Lifestyle aesthetic,lifestyle,0.85,low_conf,1489027,gemini_two_axis,https://www.tiktok.com/video/7642349958397693205
7643757423546748180,15,Đồ uống & cafe,food,16,Morning / night routine,lifestyle,0.85,low_conf,1136694,gemini_two_axis,https://www.tiktok.com/video/7643757423546748180
7641889772092443907,63,Phiêu lưu / outdoor,travel,20,POV tình yêu / quan hệ,lifestyle,0.85,low_conf,1056552,gemini_two_axis,https://www.tiktok.com/video/7641889772092443907
7641959422780001554,63,Phiêu lưu / outdoor,travel,23,Lifestyle aesthetic,lifestyle,0.85,low_conf,682738,gemini_two_axis,https://www.tiktok.com/video/7641959422780001554
7643996962055834900,65,Review xe ô tô,auto,23,Lifestyle aesthetic,lifestyle,0.85,low_conf,249664,gemini_two_axis,https://www.tiktok.com/video/7643996962055834900
7643674135272361236,65,Review xe ô tô,auto,23,Lifestyle aesthetic,lifestyle,0.85,low_conf,216499,gemini_two_axis,https://www.tiktok.com/video/7643674135272361236
7641585286316674324,49,Review Shopee / gia dụng,business,23,Lifestyle aesthetic,lifestyle,0.85,low_conf,178436,gemini_two_axis,https://www.tiktok.com/video/7641585286316674324
7643851859454627093,65,Review xe ô tô,auto,16,Morning / night routine,lifestyle,0.85,low_conf,138318,gemini_two_axis,https://www.tiktok.com/video/7643851859454627093
7642939167953014024,9,Lookbook montage,fashion,20,POV tình yêu / quan hệ,lifestyle,0.85,low_conf,136774,gemini_two_axis,https://www.tiktok.com/video/7642939167953014024
7643091081311325461,63,Phiêu lưu / outdoor,travel,16,Morning / night routine,lifestyle,0.85,low_conf,92504,gemini_two_axis,https://www.tiktok.com/video/7643091081311325461
7644048046325599508,33,Mẹo nuôi dạy,family,16,Morning / night routine,lifestyle,0.85,low_conf,78947,gemini_two_axis,https://www.tiktok.com/video/7644048046325599508
7642914113781337352,51,Listing bất động sản,real_estate,45,Tài chính cá nhân,business,0.85,low_conf,60682,gemini_two_axis,https://www.tiktok.com/video/7642914113781337352
7643071224540564754,9,Lookbook montage,fashion,20,POV tình yêu / quan hệ,lifestyle,0.85,low_conf,54571,gemini_two_axis,https://www.tiktok.com/video/7643071224540564754
7643769481033944341,41,Hướng dẫn phần mềm,tech_gaming,36,Học ngoại ngữ,education,0.85,low_conf,46160,gemini_two_axis,https://www.tiktok.com/video/7643769481033944341
7642234903337241874,51,Listing bất động sản,real_estate,45,Tài chính cá nhân,business,0.85,low_conf,42759,gemini_two_axis,https://www.tiktok.com/video/7642234903337241874
